Printing Modifier Definitions:
Tag: none, Categories: none
Tag: unit_army_offense_mult, Categories: unit
Tag: unit_army_defense_add, Categories: unit
Tag: unit_army_defense_mult, Categories: unit
Tag: unit_navy_offense_add, Categories: unit
Tag: unit_navy_offense_mult, Categories: unit
Tag: unit_navy_defense_add, Categories: unit
Tag: unit_navy_defense_mult, Categories: unit
Tag: unit_morale_loss_add, Categories: unit
Tag: unit_morale_loss_mult, Categories: unit
Tag: unit_morale_damage_mult, Categories: unit
Tag: unit_morale_recovery_mult, Categories: unit
Tag: unit_kill_rate_add, Categories: unit
Tag: unit_recovery_rate_add, Categories: unit
Tag: unit_provinces_captured_mult, Categories: unit
Tag: unit_provinces_lost_mult, Categories: unit
Tag: unit_devastation_mult, Categories: unit
Tag: unit_advancement_speed_mult, Categories: unit
Tag: unit_convoy_requirements_mult, Categories: unit
Tag: unit_convoy_raiding_mult, Categories: unit
Tag: unit_convoy_defense_mult, Categories: unit
Tag: unit_convoy_raiding_interception_mult, Categories: unit
Tag: unit_supply_consumption_mult, Categories: unit
Tag: unit_mobilization_speed_mult, Categories: unit
Tag: unit_mobilization_speed_from_railways_mult, Categories: unit
Tag: unit_occupation_mult, Categories: unit
Tag: unit_combat_unit_type_siege_artillery_offense_mult, Categories: unit
Tag: unit_combat_unit_type_shrapnel_artillery_offense_mult, Categories: unit
Tag: unit_combat_unit_type_submarine_offense_mult, Categories: unit
Tag: unit_combat_unit_type_heavy_tank_offense_mult, Categories: unit
Tag: unit_combat_unit_type_carrier_offense_mult, Categories: unit
Tag: unit_combat_unit_type_cannon_artillery_mult, Categories: unit
Tag: unit_combat_unit_type_mobile_artillery_mult, Categories: unit
Tag: military_formation_travel_speed_mult, Categories: military_formation
Tag: military_formation_organization_gain_add, Categories: military_formation
Tag: military_formation_organization_gain_mult, Categories: military_formation
Tag: military_formation_attrition_risk_add, Categories: military_formation
Tag: military_formation_attrition_risk_mult, Categories: military_formation
Tag: unit_army_experience_gain_add, Categories: unit
Tag: unit_navy_experience_gain_add, Categories: unit
Tag: unit_experience_gain_add, Categories: unit
Tag: unit_army_experience_gain_mult, Categories: unit
Tag: unit_navy_experience_gain_mult, Categories: unit
Tag: unit_experience_gain_mult, Categories: unit
Tag: country_production_tech_research_speed_mult, Categories: country
Tag: country_production_tech_spread_mult, Categories: country
Tag: dummy_modifier_type, Categories: none
Tag: building_production_mult, Categories: building
Tag: building_group_bg_construction_laborers_mortality_mult, Categories: building
Tag: building_group_bg_agriculture_laborers_mortality_mult, Categories: building
Tag: building_group_bg_agriculture_farmers_mortality_mult, Categories: building
Tag: building_group_bg_ranching_laborers_mortality_mult, Categories: building
Tag: building_group_bg_ranching_farmers_mortality_mult, Categories: building
Tag: building_group_bg_plantations_laborers_mortality_mult, Categories: building
Tag: building_group_bg_plantations_farmers_mortality_mult, Categories: building
Tag: building_group_bg_mining_laborers_mortality_mult, Categories: building
Tag: building_group_bg_manufacturing_laborers_mortality_mult, Categories: building
Tag: building_group_bg_mining_laborers_standard_of_living_add, Categories: building
Tag: building_group_bg_manufacturing_laborers_standard_of_living_add, Categories: building
Tag: building_group_bg_mining_machinists_mortality_mult, Categories: building
Tag: building_group_bg_manufacturing_machinists_mortality_mult, Categories: building
Tag: building_group_bg_mining_machinists_standard_of_living_add, Categories: building
Tag: building_group_bg_manufacturing_machinists_standard_of_living_add, Categories: building
Tag: building_group_bg_mining_engineers_mortality_mult, Categories: building
Tag: building_group_bg_manufacturing_engineers_mortality_mult, Categories: building
Tag: building_group_bg_mining_engineers_standard_of_living_add, Categories: building
Tag: building_group_bg_manufacturing_engineers_standard_of_living_add, Categories: building
Tag: building_group_bg_service_tax_mult, Categories: building
Tag: building_group_bg_agriculture_tax_mult, Categories: building
Tag: building_group_bg_ranching_tax_mult, Categories: building
Tag: building_group_bg_plantations_tax_mult, Categories: building
Tag: building_group_bg_mining_tax_mult, Categories: building
Tag: building_group_bg_gold_mining_tax_mult, Categories: building
Tag: building_group_bg_coal_mining_tax_mult, Categories: building
Tag: building_group_bg_iron_mining_tax_mult, Categories: building
Tag: building_group_bg_lead_mining_tax_mult, Categories: building
Tag: building_group_bg_sulfur_mining_tax_mult, Categories: building
Tag: building_group_bg_rubber_tax_mult, Categories: building
Tag: building_group_bg_logging_tax_mult, Categories: building
Tag: building_group_bg_fishing_tax_mult, Categories: building
Tag: building_group_bg_whaling_tax_mult, Categories: building
Tag: building_group_bg_oil_extraction_tax_mult, Categories: building
Tag: building_group_bg_manufacturing_tax_mult, Categories: building
Tag: building_group_bg_government_tax_mult, Categories: building
Tag: building_group_bg_infrastructure_tax_mult, Categories: building
Tag: building_group_bg_service_mortality_mult, Categories: building
Tag: building_group_bg_agriculture_mortality_mult, Categories: building
Tag: building_group_bg_ranching_mortality_mult, Categories: building
Tag: building_group_bg_plantations_mortality_mult, Categories: building
Tag: building_group_bg_mining_mortality_mult, Categories: building
Tag: building_group_bg_gold_mining_mortality_mult, Categories: building
Tag: building_group_bg_coal_mining_mortality_mult, Categories: building
Tag: building_group_bg_iron_mining_mortality_mult, Categories: building
Tag: building_group_bg_lead_mining_mortality_mult, Categories: building
Tag: building_group_bg_sulfur_mining_mortality_mult, Categories: building
Tag: building_group_bg_rubber_mortality_mult, Categories: building
Tag: building_group_bg_logging_mortality_mult, Categories: building
Tag: building_group_bg_fishing_mortality_mult, Categories: building
Tag: building_group_bg_whaling_mortality_mult, Categories: building
Tag: building_group_bg_oil_extraction_mortality_mult, Categories: building
Tag: building_group_bg_manufacturing_mortality_mult, Categories: building
Tag: building_group_bg_government_mortality_mult, Categories: building
Tag: building_group_bg_infrastructure_mortality_mult, Categories: building
Tag: building_group_bg_service_standard_of_living_add, Categories: building
Tag: building_group_bg_agriculture_standard_of_living_add, Categories: building
Tag: building_group_bg_plantations_standard_of_living_add, Categories: building
Tag: building_group_bg_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_gold_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_coal_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_iron_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_lead_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_sulfur_mining_standard_of_living_add, Categories: building
Tag: building_group_bg_rubber_standard_of_living_add, Categories: building
Tag: building_group_bg_logging_standard_of_living_add, Categories: building
Tag: building_group_bg_fishing_standard_of_living_add, Categories: building
Tag: building_group_bg_whaling_standard_of_living_add, Categories: building
Tag: building_group_bg_oil_extraction_standard_of_living_add, Categories: building
Tag: building_group_bg_manufacturing_standard_of_living_add, Categories: building
Tag: building_group_bg_government_standard_of_living_add, Categories: building
Tag: building_group_bg_infrastructure_standard_of_living_add, Categories: building
Tag: building_group_bg_service_employee_mult, Categories: building
Tag: building_group_bg_agriculture_employee_mult, Categories: building
Tag: building_group_bg_plantations_employee_mult, Categories: building
Tag: building_group_bg_mining_employee_mult, Categories: building
Tag: building_group_bg_gold_mining_employee_mult, Categories: building
Tag: building_group_bg_coal_mining_employee_mult, Categories: building
Tag: building_group_bg_iron_mining_employee_mult, Categories: building
Tag: building_group_bg_lead_mining_employee_mult, Categories: building
Tag: building_group_bg_sulfur_mining_employee_mult, Categories: building
Tag: building_group_bg_rubber_employee_mult, Categories: building
Tag: building_group_bg_logging_employee_mult, Categories: building
Tag: building_group_bg_fishing_employee_mult, Categories: building
Tag: building_group_bg_whaling_employee_mult, Categories: building
Tag: building_group_bg_oil_extraction_employee_mult, Categories: building
Tag: building_group_bg_manufacturing_employee_mult, Categories: building
Tag: building_group_bg_government_employee_mult, Categories: building
Tag: building_group_bg_infrastructure_employee_mult, Categories: building
Tag: building_goods_input_mult, Categories: building
Tag: building_throughput_add, Categories: building
Tag: building_cash_reserves_mult, Categories: building
Tag: building_group_bg_agriculture_throughput_add, Categories: building
Tag: building_group_bg_ranching_throughput_add, Categories: building
Tag: building_group_bg_mining_throughput_add, Categories: building
Tag: building_group_bg_plantations_throughput_add, Categories: building
Tag: building_group_bg_manufacturing_throughput_add, Categories: building
Tag: building_subsistence_output_add, Categories: building
Tag: building_subsistence_output_mult, Categories: building
Tag: building_mobilization_cost_mult, Categories: building
Tag: building_unincorporated_subsistence_output_mult, Categories: building
Tag: building_training_rate_add, Categories: building
Tag: building_training_rate_mult, Categories: building
Tag: building_working_conditions_mult, Categories: building
Tag: building_minimum_wage_mult, Categories: building
Tag: building_unincorporated_throughput_add, Categories: building
Tag: goods_output_services_add, Categories: goods
Tag: goods_output_fine_art_add, Categories: goods
Tag: goods_output_furniture_add, Categories: goods
Tag: goods_output_clothes_add, Categories: goods
Tag: goods_output_tools_add, Categories: goods
Tag: goods_output_glass_add, Categories: goods
Tag: goods_output_steel_add, Categories: goods
Tag: goods_output_liquor_add, Categories: goods
Tag: goods_output_groceries_add, Categories: goods
Tag: goods_output_luxury_clothes_add, Categories: goods
Tag: goods_output_luxury_furniture_add, Categories: goods
Tag: goods_output_porcelain_add, Categories: goods
Tag: goods_output_fertilizer_add, Categories: goods
Tag: goods_output_explosives_add, Categories: goods
Tag: goods_output_ammunition_add, Categories: goods
Tag: goods_output_artillery_add, Categories: goods
Tag: goods_output_engines_add, Categories: goods
Tag: goods_output_clippers_add, Categories: goods
Tag: goods_output_steamers_add, Categories: goods
Tag: goods_output_manowars_add, Categories: goods
Tag: goods_output_ironclads_add, Categories: goods
Tag: goods_output_automobiles_add, Categories: goods
Tag: goods_output_aeroplanes_add, Categories: goods
Tag: goods_output_tanks_add, Categories: goods
Tag: goods_output_radios_add, Categories: goods
Tag: goods_output_telephones_add, Categories: goods
Tag: goods_output_grain_add, Categories: goods
Tag: goods_output_fish_add, Categories: goods
Tag: goods_output_meat_add, Categories: goods
Tag: goods_output_fruit_add, Categories: goods
Tag: goods_output_wine_add, Categories: goods
Tag: goods_output_fabric_add, Categories: goods
Tag: goods_output_wood_add, Categories: goods
Tag: goods_output_sugar_add, Categories: goods
Tag: goods_output_coal_add, Categories: goods
Tag: goods_output_iron_add, Categories: goods
Tag: goods_output_lead_add, Categories: goods
Tag: goods_output_oil_add, Categories: goods
Tag: goods_output_gold_add, Categories: goods
Tag: goods_output_sulfur_add, Categories: goods
Tag: goods_output_hardwood_add, Categories: goods
Tag: goods_output_rubber_add, Categories: goods
Tag: goods_output_coffee_add, Categories: goods
Tag: goods_output_dye_add, Categories: goods
Tag: goods_output_opium_add, Categories: goods
Tag: goods_output_tea_add, Categories: goods
Tag: goods_output_silk_add, Categories: goods
Tag: goods_output_tobacco_add, Categories: goods
Tag: goods_output_small_arms_add, Categories: goods
Tag: goods_output_paper_add, Categories: goods
Tag: goods_output_literature_add, Categories: goods
Tag: goods_output_electricity_add, Categories: goods
Tag: goods_output_transportation_add, Categories: goods
Tag: goods_input_fabric_add, Categories: goods
Tag: goods_input_wood_add, Categories: goods
Tag: goods_input_iron_add, Categories: goods
Tag: goods_input_coal_add, Categories: goods
Tag: goods_input_lead_add, Categories: goods
Tag: goods_input_liquor_add, Categories: goods
Tag: goods_input_grain_add, Categories: goods
Tag: goods_input_fish_add, Categories: goods
Tag: goods_input_meat_add, Categories: goods
Tag: goods_input_fruit_add, Categories: goods
Tag: goods_input_sugar_add, Categories: goods
Tag: goods_input_glass_add, Categories: goods
Tag: goods_input_dye_add, Categories: goods
Tag: goods_input_silk_add, Categories: goods
Tag: goods_input_tobacco_add, Categories: goods
Tag: goods_input_wine_add, Categories: goods
Tag: goods_input_hardwood_add, Categories: goods
Tag: goods_input_sulfur_add, Categories: goods
Tag: goods_input_oil_add, Categories: goods
Tag: goods_input_steel_add, Categories: goods
Tag: goods_input_fertilizer_add, Categories: goods
Tag: goods_input_tools_add, Categories: goods
Tag: goods_input_rubber_add, Categories: goods
Tag: goods_input_opium_add, Categories: goods
Tag: goods_input_ammunition_add, Categories: goods
Tag: goods_input_artillery_add, Categories: goods
Tag: goods_input_small_arms_add, Categories: goods
Tag: goods_input_clothes_add, Categories: goods
Tag: goods_input_groceries_add, Categories: goods
Tag: goods_input_engines_add, Categories: goods
Tag: goods_input_automobiles_add, Categories: goods
Tag: goods_input_clippers_add, Categories: goods
Tag: goods_input_steamers_add, Categories: goods
Tag: goods_input_manowars_add, Categories: goods
Tag: goods_input_ironclads_add, Categories: goods
Tag: goods_input_paper_add, Categories: goods
Tag: goods_input_literature_add, Categories: goods
Tag: goods_input_explosives_add, Categories: goods
Tag: goods_input_electricity_add, Categories: goods
Tag: goods_input_transportation_add, Categories: goods
Tag: goods_input_aeroplanes_add, Categories: goods
Tag: goods_input_tanks_add, Categories: goods
Tag: goods_input_radios_add, Categories: goods
Tag: goods_input_telephones_add, Categories: goods
Tag: goods_output_hardwood_mult, Categories: goods
Tag: goods_output_oil_mult, Categories: goods
Tag: building_group_bg_service_throughput_add, Categories: building
Tag: building_group_bg_oil_extraction_throughput_add, Categories: building
Tag: building_construction_sector_throughput_add, Categories: building
Tag: building_coal_mine_throughput_add, Categories: building
Tag: building_silk_plantation_throughput_add, Categories: building
Tag: building_dye_plantation_throughput_add, Categories: building
Tag: building_cotton_plantation_throughput_add, Categories: building
Tag: building_iron_mine_throughput_add, Categories: building
Tag: building_gold_mine_throughput_add, Categories: building
Tag: building_shipyards_throughput_add, Categories: building
Tag: building_port_throughput_add, Categories: building
Tag: building_throughput_oil_mult, Categories: building
Tag: building_group_bg_logging_throughput_add, Categories: building
Tag: building_group_bg_fishing_throughput_add, Categories: building
Tag: building_rye_farm_throughput_add, Categories: building
Tag: building_group_bg_whaling_throughput_add, Categories: building
Tag: building_wheat_farm_throughput_add, Categories: building
Tag: building_rice_farm_throughput_add, Categories: building
Tag: building_maize_farm_throughput_add, Categories: building
Tag: building_millet_farm_throughput_add, Categories: building
Tag: building_livestock_ranch_throughput_add, Categories: building
Tag: building_opium_plantation_throughput_add, Categories: building
Tag: building_arts_academy_throughput_add, Categories: building
Tag: building_university_throughput_add, Categories: building
Tag: building_whaling_station_throughput_add, Categories: building
Tag: goods_output_literature_mult, Categories: goods
Tag: goods_output_tools_mult, Categories: goods
Tag: goods_output_small_arms_mult, Categories: goods
Tag: goods_output_engines_mult, Categories: goods
Tag: goods_output_artillery_mult, Categories: goods
Tag: goods_output_automobiles_mult, Categories: goods
Tag: goods_output_aeroplanes_mult, Categories: goods
Tag: goods_output_tanks_mult, Categories: goods
Tag: goods_output_clippers_mult, Categories: goods
Tag: goods_output_steamers_mult, Categories: goods
Tag: goods_output_manowars_mult, Categories: goods
Tag: goods_output_ironclads_mult, Categories: goods
Tag: building_food_industry_throughput_add, Categories: building
Tag: building_munition_plants_throughput_add, Categories: building
Tag: building_synthetics_plants_throughput_add, Categories: building
Tag: building_textile_mills_throughput_add, Categories: building
Tag: building_furniture_manufacturies_throughput_add, Categories: building
Tag: building_glassworks_throughput_add, Categories: building
Tag: building_tooling_workshops_throughput_add, Categories: building
Tag: building_paper_mills_throughput_add, Categories: building
Tag: building_chemical_plants_throughput_add, Categories: building
Tag: building_motor_industry_throughput_add, Categories: building
Tag: building_war_machine_industry_throughput_add, Categories: building
Tag: building_electrics_industry_throughput_add, Categories: building
Tag: building_arms_industry_throughput_add, Categories: building
Tag: building_artillery_foundries_throughput_add, Categories: building
Tag: building_power_plant_throughput_add, Categories: building
Tag: building_lead_mine_throughput_add, Categories: building
Tag: building_sulfur_mine_throughput_add, Categories: building
Tag: building_gold_fields_throughput_add, Categories: building
Tag: building_railway_throughput_add, Categories: building
Tag: building_rubber_plantation_throughput_add, Categories: building
Tag: building_vineyard_plantation_throughput_add, Categories: building
Tag: building_explosives_factory_throughput_add, Categories: building
Tag: building_military_shipyards_throughput_add, Categories: building
Tag: goods_output_liquor_mult, Categories: goods
Tag: goods_output_wine_mult, Categories: goods
Tag: goods_output_fabric_mult, Categories: goods
Tag: goods_output_fruit_mult, Categories: goods
Tag: goods_output_sugar_mult, Categories: goods
Tag: goods_output_radio_mult, Categories: goods
Tag: goods_output_silk_mult, Categories: goods
Tag: building_steel_mills_throughput_add, Categories: building
Tag: building_urban_center_throughput_add, Categories: building
Tag: goods_output_electricity_mult, Categories: goods
Tag: building_government_administration_throughput_add, Categories: building
Tag: building_government_shares_add, Categories: building
Tag: building_workforce_shares_add, Categories: building
Tag: goods_input_small_arms_mult, Categories: goods
Tag: goods_input_artillery_mult, Categories: goods
Tag: goods_input_ammunition_mult, Categories: goods
Tag: goods_input_oil_mult, Categories: goods
Tag: goods_input_radios_mult, Categories: goods
Tag: goods_input_tanks_mult, Categories: goods
Tag: country_disallow_discriminated_migration, Categories: country
Tag: country_disallow_migration, Categories: country
Tag: country_disallow_agitator_invites, Categories: country
Tag: country_subsidies_all, Categories: country
Tag: country_subsidies_bg_mining, Categories: country
Tag: country_subsidies_bg_logging, Categories: country
Tag: country_subsidies_bg_fishing, Categories: country
Tag: country_subsidies_bg_whaling, Categories: country
Tag: country_subsidies_bg_agriculture, Categories: country
Tag: country_subsidies_bg_ranching, Categories: country
